id,psu,w,size,i0,i1,i2,i3
1,C1,0.9115,4,0,1,0,0
2,C1,1.6408,3,0,0,0,1
3,C1,0.9982,5,0,0,0,1
4,C1,1.7961,2,0,0,1,0
5,C1,1.2816,4,0,1,0,1
6,C1,1.7634,3,1,1,1,0
7,C1,1.5955,5,1,0,0,1
8,C1,0.9892,1,0,0,0,1
9,C1,1.4568,1,0,0,0,0
10,C1,1.9633,4,0,1,0,0
11,C1,1.206,5,0,0,0,0
12,C1,0.8654,2,0,1,1,0
13,C1,1.1826,2,0,0,1,1
14,C1,1.4264,2,0,0,1,0
15,C1,1.4528,3,0,1,1,1
16,C2,1.1359,5,0,0,0,1
17,C2,1.0713,2,1,1,0,0
18,C2,1.2834,2,0,0,0,1
19,C2,1.3839,1,1,0,1,0
20,C2,1.7743,5,0,0,0,0
21,C2,1.2552,2,0,0,0,1
22,C2,1.5067,3,0,0,1,1
23,C2,0.8014,4,1,1,0,1
24,C2,0.8492,4,0,0,0,1
25,C2,1.7835,4,0,0,0,0
26,C2,1.4462,3,0,0,1,1
27,C2,0.789,1,0,0,0,0
28,C2,1.0344,4,0,1,1,0
29,C2,1.6785,5,0,1,0,1
30,C2,1.2074,2,1,1,0,0
31,C3,0.8135,2,1,1,0,0
32,C3,1.3535,1,1,1,0,0
33,C3,0.7114,3,0,0,0,0
34,C3,1.1583,3,0,1,1,0
35,C3,1.1376,2,1,0,1,1
36,C3,1.4858,3,1,0,1,0
37,C3,0.8566,2,0,1,1,0
38,C3,1.2089,3,1,1,0,1
39,C3,1.5455,3,0,0,0,1
40,C3,1.3652,2,1,0,1,0
41,C3,1.1887,3,1,1,0,1
42,C3,0.9278,1,1,1,0,0
43,C3,1.4452,4,0,0,0,0
44,C3,1.6727,5,1,1,0,1
45,C3,1.2364,5,0,1,1,0
46,C4,1.1183,2,0,0,0,0
47,C4,1.3027,2,0,1,1,0
48,C4,1.2982,2,1,1,1,0
49,C4,1.648,1,1,1,0,1
50,C4,1.6323,1,0,1,0,1
51,C4,1.3914,5,1,0,1,0
52,C4,1.807,5,0,1,0,0
53,C4,1.5537,5,0,1,0,0
54,C4,1.0706,3,1,0,0,1
55,C4,1.8126,1,1,1,1,1
56,C4,1.1458,1,1,1,0,0
57,C4,1.741,2,0,1,0,0
58,C4,1.6051,2,1,0,1,1
59,C4,1.5255,3,0,1,1,1
60,C4,0.9578,1,0,1,1,1
61,C5,1.669,4,0,1,0,1
62,C5,0.9564,5,0,0,1,1
63,C5,1.1596,5,0,1,0,0
64,C5,1.534,2,1,0,0,1
65,C5,1.5296,3,1,1,0,1
66,C5,1.2616,2,0,0,0,0
67,C5,0.9631,3,0,0,1,0
68,C5,1.9632,3,0,0,0,1
69,C5,1.5413,2,0,1,0,1
70,C5,1.7766,2,0,1,0,0
71,C5,1.1039,2,1,0,0,0
72,C5,1.068,3,0,1,0,0
73,C5,1.8255,5,1,0,1,0
74,C5,0.8613,4,1,0,0,1
75,C5,1.9402,1,0,0,1,0
76,C6,0.7951,2,0,1,0,0
77,C6,0.7565,2,1,1,1,1
78,C6,1.0569,1,0,0,0,0
79,C6,1.4096,1,0,1,0,0
80,C6,1.4454,1,0,1,0,0
81,C6,0.9489,3,1,1,0,0
82,C6,1.9994,3,0,0,0,1
83,C6,0.7591,5,1,0,0,0
84,C6,1.7883,2,0,0,0,1
85,C6,1.6581,3,1,1,0,0
86,C6,1.6381,1,0,0,0,0
87,C6,1.8178,4,0,0,0,0
88,C6,1.5247,2,0,1,0,0
89,C6,1.4317,4,0,1,1,0
90,C6,1.0186,2,1,0,1,0
91,C7,1.9271,3,0,1,1,1
92,C7,1.0221,1,0,0,0,0
93,C7,1.7334,3,0,1,0,1
94,C7,0.862,1,1,0,1,0
95,C7,0.9547,5,0,1,1,1
96,C7,1.1872,5,1,1,0,0
97,C7,1.7489,1,1,1,0,0
98,C7,1.9738,1,0,0,0,1
99,C7,1.9813,4,1,0,0,0
100,C7,0.7324,2,1,1,1,1
101,C7,0.8501,2,0,0,0,1
102,C7,1.0921,2,0,0,1,1
103,C7,1.8583,3,1,1,0,1
104,C7,1.0814,5,0,1,0,1
105,C7,1.0693,1,0,0,0,0
106,C8,1.3091,3,1,0,0,1
107,C8,1.6346,3,0,1,1,1
108,C8,1.8382,3,1,1,0,0
109,C8,1.0785,4,0,0,1,0
110,C8,1.3285,2,1,0,0,1
111,C8,0.8504,4,1,0,0,0
112,C8,1.7634,4,0,1,0,1
113,C8,1.0604,1,0,1,0,1
114,C8,0.9067,4,1,0,1,1
115,C8,1.3979,4,1,1,0,0
116,C8,0.9262,3,0,1,1,0
117,C8,1.7537,2,0,0,0,1
118,C8,1.1394,5,0,1,0,1
119,C8,1.5857,1,0,1,1,0
120,C8,1.8631,3,0,0,1,1
