id,stratum,psu,ssu,f1,f2,w,i0,i1,i2,i3
1,H1,P1_1,S1_1_1,0.5,0.25,1.0,0,1,0,1
2,H1,P1_1,S1_1_1,0.5,0.25,1.0,1,0,0,1
3,H1,P1_1,S1_1_2,0.5,0.25,1.0,1,1,1,1
4,H1,P1_1,S1_1_2,0.5,0.25,1.0,0,0,1,1
5,H1,P1_2,S1_2_1,0.5,0.25,1.0,1,1,0,0
6,H1,P1_2,S1_2_1,0.5,0.25,1.0,0,0,0,0
7,H1,P1_2,S1_2_2,0.5,0.25,1.0,0,1,1,0
8,H1,P1_2,S1_2_2,0.5,0.25,1.0,1,0,1,0
9,H2,P2_1,S2_1_1,0.5,0.25,1.0,1,1,1,1
10,H2,P2_1,S2_1_1,0.5,0.25,1.0,0,0,1,1
11,H2,P2_1,S2_1_2,0.5,0.25,1.0,0,1,0,1
12,H2,P2_1,S2_1_2,0.5,0.25,1.0,1,0,0,1
13,H2,P2_2,S2_2_1,0.5,0.25,1.0,0,1,1,0
14,H2,P2_2,S2_2_1,0.5,0.25,1.0,1,0,1,0
15,H2,P2_2,S2_2_2,0.5,0.25,1.0,1,1,0,0
16,H2,P2_2,S2_2_2,0.5,0.25,1.0,0,0,0,0
