id,stratum,psu,w,i0,i1,i2,i3,c,poor,ck,__afmpi_repwgt_1,__afmpi_repwgt_2,__afmpi_repwgt_3,__afmpi_repwgt_4
1,S1,P1,1.0,1,1,0,1,0.75,1.0,0.75,2.0,0.0,2.0,0.0
2,S1,P1,1.2,0,1,1,0,0.5,1.0,0.5,2.4,0.0,2.4,0.0
3,S1,P1,0.8,1,0,1,0,0.5,1.0,0.5,1.6,0.0,1.6,0.0
4,S1,P2,1.1,1,1,0,1,0.75,1.0,0.75,0.0,2.2,0.0,2.2
5,S1,P2,0.9,0,0,1,0,0.25,0.0,0.0,0.0,1.8,0.0,1.8
6,S1,P2,1.3,1,0,0,1,0.5,1.0,0.5,0.0,2.6,0.0,2.6
7,S2,P3,1.0,1,1,0,0,0.5,1.0,0.5,2.0,2.0,0.0,0.0
8,S2,P3,1.4,0,1,1,0,0.5,1.0,0.5,2.8,2.8,0.0,0.0
9,S2,P3,0.7,1,0,1,1,0.75,1.0,0.75,1.4,1.4,0.0,0.0
10,S2,P4,1.2,0,1,0,1,0.5,1.0,0.5,0.0,0.0,2.4,2.4
11,S2,P4,1.1,1,1,0,0,0.5,1.0,0.5,0.0,0.0,2.2,2.2
12,S2,P4,0.9,1,0,1,0,0.5,1.0,0.5,0.0,0.0,1.8,1.8
