id,stratum,psu,w,i0,i1,i2,i3,c,poor,ck,__afmpi_repwgt_1,__afmpi_repwgt_2,__afmpi_repwgt_3,__afmpi_repwgt_4
1,S1,P1,1.0,1,1,0,1,0.75,1.0,0.75,1.5,0.5,1.5,0.5
2,S1,P1,1.2,0,1,1,0,0.5,1.0,0.5,1.7999999999999998,0.6,1.7999999999999998,0.6
3,S1,P1,0.8,1,0,1,0,0.5,1.0,0.5,1.2000000000000002,0.4,1.2000000000000002,0.4
4,S1,P2,1.1,1,1,0,1,0.75,1.0,0.75,0.55,1.6500000000000001,0.55,1.6500000000000001
5,S1,P2,0.9,0,0,1,0,0.25,0.0,0.0,0.45,1.35,0.45,1.35
6,S1,P2,1.3,1,0,0,1,0.5,1.0,0.5,0.65,1.9500000000000002,0.65,1.9500000000000002
7,S2,P3,1.0,1,1,0,0,0.5,1.0,0.5,1.5,1.5,0.5,0.5
8,S2,P3,1.4,0,1,1,0,0.5,1.0,0.5,2.0999999999999996,2.0999999999999996,0.7,0.7
9,S2,P3,0.7,1,0,1,1,0.75,1.0,0.75,1.0499999999999998,1.0499999999999998,0.35,0.35
10,S2,P4,1.2,0,1,0,1,0.5,1.0,0.5,0.6,0.6,1.7999999999999998,1.7999999999999998
11,S2,P4,1.1,1,1,0,0,0.5,1.0,0.5,0.55,0.55,1.6500000000000001,1.6500000000000001
12,S2,P4,0.9,1,0,1,0,0.5,1.0,0.5,0.45,0.45,1.35,1.35
