id,stratum,psu,w,i0,i1,i2,i3,c,poor,ck,__afmpi_repwgt_1,__afmpi_repwgt_2,__afmpi_repwgt_3,__afmpi_repwgt_4,__afmpi_repwgt_5,__afmpi_repwgt_6,__afmpi_repwgt_7,__afmpi_repwgt_8
1,S1,P1,1.0,1,1,0,1,0.75,1.0,0.75,1.0,0.2928932188134524,1.7071067811865475,1.0,1.0,0.2928932188134524,1.7071067811865475,1.0
2,S1,P1,1.2,0,1,1,0,0.5,1.0,0.5,1.2,0.3514718625761429,2.048528137423857,1.2,1.2,0.3514718625761429,2.048528137423857,1.2
3,S1,P1,0.8,1,0,1,0,0.5,1.0,0.5,0.8,0.23431457505076195,1.365685424949238,0.8,0.8,0.23431457505076195,1.365685424949238,0.8
4,S1,P2,1.1,1,1,0,1,0.75,1.0,0.75,1.1,1.8778174593052024,1.1,0.3221825406947977,1.1,1.8778174593052024,1.1,0.3221825406947977
5,S1,P2,0.9,0,0,1,0,0.25,0.0,0.0,0.9,1.5363961030678928,0.9,0.2636038969321072,0.9,1.5363961030678928,0.9,0.2636038969321072
6,S1,P2,1.3,1,0,0,1,0.5,1.0,0.5,1.3,2.2192388155425116,1.3,0.3807611844574882,1.3,2.2192388155425116,1.3,0.3807611844574882
7,S2,P3,1.0,1,1,0,0,0.5,1.0,0.5,1.0,0.2928932188134524,0.2928932188134524,1.0,1.7071067811865475,1.0,1.0,1.7071067811865475
8,S2,P3,1.4,0,1,1,0,0.5,1.0,0.5,1.4,0.4100505063388334,0.4100505063388334,1.4,2.3899494936611663,1.4,1.4,2.3899494936611663
9,S2,P3,0.7,1,0,1,1,0.75,1.0,0.75,0.7,0.2050252531694167,0.2050252531694167,0.7,1.1949747468305831,0.7,0.7,1.1949747468305831
10,S2,P4,1.2,0,1,0,1,0.5,1.0,0.5,1.2,2.048528137423857,1.2,2.048528137423857,1.2,0.3514718625761429,1.2,0.3514718625761429
11,S2,P4,1.1,1,1,0,0,0.5,1.0,0.5,1.1,1.8778174593052024,1.1,1.8778174593052024,1.1,0.3221825406947977,1.1,0.3221825406947977
12,S2,P4,0.9,1,0,1,0,0.5,1.0,0.5,0.9,1.5363961030678928,0.9,1.5363961030678928,0.9,0.2636038969321072,0.9,0.2636038969321072
