id,w,size,i0,i1,i2,i3
1,0.8254,1,0,1,0,0
2,1.445,5,1,1,1,1
3,1.1955,5,1,1,0,1
4,2.0023,4,1,0,0,0
5,0.82,2,1,0,1,1
6,1.2118,2,0,1,1,0
7,1.9474,1,0,0,0,1
8,1.3839,4,1,0,0,0
9,1.2719,1,0,1,0,1
10,1.4526,3,0,0,0,1
11,2.2895,5,0,0,0,0
12,0.9588,5,1,0,0,0
13,1.0005,5,1,0,0,0
14,0.9491,3,0,1,0,1
15,1.5027,3,1,1,0,0
16,1.3624,1,0,0,0,0
17,1.6711,5,0,0,0,1
18,2.1862,3,1,1,1,1
19,0.8361,2,0,1,0,0
20,0.8395,4,0,0,1,1
21,1.9829,2,1,1,0,1
22,0.8959,3,0,1,0,1
23,1.3948,2,0,1,1,1
24,1.4122,3,0,1,1,0
25,1.074,4,0,0,0,1
26,2.423,2,1,1,0,1
27,0.6052,3,0,1,0,1
28,1.7807,1,0,0,1,1
29,2.136,3,0,1,0,1
30,2.0704,1,1,0,1,0
31,2.1309,1,0,1,1,1
32,2.1641,1,1,1,0,0
33,0.8155,4,0,1,1,1
34,1.8777,4,0,1,1,1
35,0.6884,3,0,1,0,1
36,2.1879,4,1,1,0,1
37,1.5426,5,1,1,0,1
38,1.2696,1,0,1,1,0
39,2.2035,3,0,1,0,0
40,0.945,5,1,0,0,1
41,1.2532,2,1,1,0,1
42,1.3403,1,1,1,0,0
43,1.3577,5,0,0,0,1
44,1.8546,1,1,0,1,0
45,1.6644,4,1,1,0,1
46,1.7622,4,1,1,0,0
47,0.9194,4,1,1,1,1
48,1.232,4,1,1,0,1
49,1.6451,2,0,0,1,0
50,0.7171,4,0,0,0,0
51,2.4436,3,0,1,1,1
52,0.823,1,0,0,0,1
53,1.964,2,0,0,0,1
54,1.1244,1,1,0,1,1
55,1.1648,4,0,0,0,1
56,1.2784,1,1,0,0,1
57,1.1683,5,0,1,1,0
58,1.7328,3,0,1,1,1
59,1.0839,3,0,1,0,1
60,1.7941,1,1,0,0,0
61,0.7307,1,0,1,0,1
62,0.7545,1,0,1,1,1
63,1.8709,2,1,1,0,1
64,1.9843,2,0,1,0,0
65,2.2394,3,0,1,0,1
66,1.0624,5,0,0,0,0
67,1.2424,4,1,1,0,0
68,1.1893,3,1,0,0,1
69,1.726,1,1,0,0,0
70,0.6256,2,1,1,0,1
71,2.3795,5,0,0,1,0
72,2.0242,2,0,1,1,0
73,1.6175,2,1,0,1,1
74,1.1641,3,0,0,1,1
75,1.6608,5,0,1,0,0
76,2.4351,4,0,0,0,0
77,1.1151,4,0,1,0,1
78,1.6581,3,1,0,0,0
79,2.2945,5,0,0,0,0
80,0.8187,2,0,0,0,1
81,1.7845,1,1,1,0,0
82,1.8531,3,0,1,0,1
83,2.2407,1,1,1,1,1
84,1.1706,4,0,1,0,0
85,1.598,1,1,0,0,0
86,0.8303,2,0,1,0,1
87,0.7047,1,1,0,0,1
88,0.6929,1,1,0,1,1
89,1.0712,1,1,0,0,1
90,1.1853,4,0,1,0,0
91,2.1054,1,0,1,0,1
92,1.7684,3,0,0,0,0
93,0.6301,4,0,0,1,1
94,2.0277,2,0,1,0,1
95,1.3975,2,0,1,0,0
96,1.3911,1,0,0,0,1
97,1.1316,5,0,0,1,0
98,0.5789,4,1,1,0,0
99,0.9723,2,0,1,0,0
100,1.5521,2,0,1,0,1
