id,stratum,psu,w,size,i0,i1,i2,i3
1,S1,P1_1,1.0115,4,0,1,0,0
2,S1,P1_1,1.7408,3,0,0,0,1
3,S1,P1_1,1.0982,5,0,0,0,1
4,S1,P1_1,1.8961,2,0,0,1,0
5,S1,P1_1,1.3816,4,0,1,0,1
6,S1,P1_1,1.8634,3,1,1,1,0
7,S1,P1_1,1.6955,5,1,0,0,1
8,S1,P1_1,1.0892,1,0,0,0,1
9,S1,P1_1,1.5568,1,0,0,0,0
10,S1,P1_1,2.0633,4,0,1,0,0
11,S1,P1_1,1.306,5,0,0,0,0
12,S1,P1_1,0.9654,2,1,1,1,0
13,S1,P1_2,1.2826,2,1,0,1,1
14,S1,P1_2,1.5264,2,0,1,1,0
15,S1,P1_2,1.5528,3,0,1,1,1
16,S1,P1_2,1.2359,5,0,0,0,0
17,S1,P1_2,1.1713,2,1,1,0,1
18,S1,P1_2,1.3834,2,0,0,0,0
19,S1,P1_2,1.4839,1,1,0,1,1
20,S1,P1_2,1.8743,5,0,0,0,1
21,S1,P1_2,1.3552,2,0,0,0,0
22,S1,P1_2,1.6067,3,1,0,1,0
23,S1,P1_2,0.9014,4,1,1,0,0
24,S1,P1_2,0.9492,4,0,0,0,0
25,S1,P1_3,1.8835,4,0,1,0,0
26,S1,P1_3,1.5462,3,0,0,1,1
27,S1,P1_3,0.889,1,0,1,0,0
28,S1,P1_3,1.1344,4,0,0,1,0
29,S1,P1_3,1.7785,5,0,0,0,1
30,S1,P1_3,1.3074,2,1,0,0,0
31,S1,P1_3,0.9135,2,1,1,0,0
32,S1,P1_3,1.4535,1,1,0,0,0
33,S1,P1_3,0.8114,3,0,0,0,0
34,S1,P1_3,1.2583,3,0,1,1,0
35,S1,P1_3,1.2376,2,1,0,1,1
36,S1,P1_3,1.5858,3,1,0,1,0
37,S2,P2_1,1.1687,2,0,0,0,0
38,S2,P2_1,1.548,3,1,0,0,1
39,S2,P2_1,1.9105,3,0,1,0,1
40,S2,P2_1,1.7163,2,1,1,1,0
41,S2,P2_1,1.5263,3,1,0,0,1
42,S2,P2_1,1.2454,1,1,0,0,0
43,S2,P2_1,1.8025,4,0,1,0,0
44,S2,P2_1,2.0475,5,1,0,0,1
45,S2,P2_1,1.5777,5,0,0,0,0
46,S2,P2_1,1.4505,2,1,1,1,0
47,S2,P2_1,1.649,2,1,0,0,0
48,S2,P2_1,1.6442,2,0,0,0,0
49,S2,P2_2,2.0209,1,0,0,1,1
50,S2,P2_2,2.004,1,1,1,1,1
51,S2,P2_2,1.7446,5,0,0,0,0
52,S2,P2_2,2.1922,5,1,1,1,0
53,S2,P2_2,1.9193,5,1,1,1,0
54,S2,P2_2,1.3991,3,0,0,1,1
55,S2,P2_2,2.1981,1,0,1,0,1
56,S2,P2_2,1.4801,1,0,1,1,0
57,S2,P2_2,2.1211,2,1,1,1,0
58,S2,P2_2,1.9747,2,0,0,0,1
59,S2,P2_2,1.889,3,1,1,0,0
60,S2,P2_2,1.2776,1,1,1,0,1
61,S2,P2_3,2.0435,4,0,0,0,0
62,S2,P2_3,1.2761,5,1,1,1,0
63,S2,P2_3,1.4949,5,1,0,0,1
64,S2,P2_3,1.8982,2,0,0,1,0
65,S2,P2_3,1.8934,3,0,0,1,0
66,S2,P2_3,1.6048,2,1,1,1,1
67,S2,P2_3,1.2834,3,1,1,1,1
68,S2,P2_3,2.3603,3,0,1,1,0
69,S2,P2_3,1.906,2,1,0,0,0
70,S2,P2_3,2.1594,2,1,0,1,1
71,S2,P2_3,1.435,2,0,1,0,1
72,S2,P2_3,1.3963,3,1,0,0,1
73,S3,P3_1,2.4987,5,0,1,1,1
74,S3,P3_1,1.3861,4,0,1,0,0
75,S3,P3_1,2.631,1,0,1,1,1
76,S3,P3_1,1.3097,2,1,0,0,1
77,S3,P3_1,1.2651,2,0,0,1,0
78,S3,P3_1,1.6118,1,1,1,1,1
79,S3,P3_1,2.0188,1,0,0,0,1
80,S3,P3_1,2.06,1,1,0,0,1
81,S3,P3_1,1.4872,3,0,0,1,1
82,S3,P3_1,2.6993,3,0,1,0,0
83,S3,P3_1,1.2682,5,0,1,1,1
84,S3,P3_1,2.4557,2,1,1,1,0
85,S3,P3_2,2.3055,3,0,0,1,1
86,S3,P3_2,2.2824,1,1,1,1,1
87,S3,P3_2,2.4898,4,1,1,1,1
88,S3,P3_2,2.1516,2,1,0,1,1
89,S3,P3_2,2.0443,4,1,0,0,1
90,S3,P3_2,1.5676,2,0,1,0,1
91,S3,P3_2,2.6159,3,1,0,0,1
92,S3,P3_2,1.5717,1,1,1,0,1
93,S3,P3_2,2.3923,3,1,0,1,1
94,S3,P3_2,1.3869,1,0,1,0,1
95,S3,P3_2,1.4939,5,1,0,0,1
96,S3,P3_2,1.7621,5,0,0,1,1
97,S3,P3_3,2.4103,1,0,1,1,1
98,S3,P3_3,2.6698,1,1,1,1,1
99,S3,P3_3,2.6784,4,0,1,1,0
100,S3,P3_3,1.2374,2,0,0,0,1
101,S3,P3_3,1.3732,2,1,1,1,1
102,S3,P3_3,1.6524,2,1,1,0,1
103,S3,P3_3,2.5365,3,0,0,1,1
104,S3,P3_3,1.64,5,1,1,1,1
105,S3,P3_3,1.6261,1,1,1,1,0
106,S3,P3_3,1.9028,3,0,1,1,1
107,S3,P3_3,2.2784,3,1,1,0,1
108,S3,P3_3,2.5134,3,0,1,1,1
