id,stratum,w,size,i0,i1,i2,i3
1,S1,0.9139,4,0,1,0,0
2,S1,1.3066,3,0,0,0,1
3,S1,0.9606,5,0,0,0,1
4,S1,1.3902,2,0,0,0,0
5,S1,1.1132,4,0,1,0,1
6,S1,1.3726,3,1,1,1,0
7,S1,1.2822,5,1,0,0,1
8,S1,0.9557,1,0,0,0,1
9,S1,1.2075,1,0,0,0,0
10,S1,1.4803,4,0,1,0,0
11,S1,1.0725,5,0,0,0,0
12,S1,0.8891,2,0,1,1,0
13,S1,1.0599,2,0,0,1,1
14,S1,1.1911,2,0,0,1,0
15,S1,1.2053,3,0,0,0,1
16,S1,1.0347,5,0,0,0,0
17,S1,0.9999,2,1,0,0,1
18,S1,1.1141,2,0,0,0,0
19,S1,1.1682,1,0,0,0,0
20,S1,1.3784,5,0,0,0,1
21,S1,1.0989,2,0,0,0,0
22,S1,1.2344,3,0,0,1,0
23,S1,0.8546,4,0,0,0,0
24,S1,0.8803,4,0,0,0,0
25,S1,1.3834,4,0,0,0,1
26,S1,1.2018,3,0,0,0,0
27,S1,0.8479,1,0,0,0,1
28,S1,0.9801,4,0,1,1,1
29,S1,1.3269,5,0,1,0,0
30,S1,1.0732,2,0,1,0,1
31,S1,0.8611,2,1,0,0,1
32,S1,1.1519,1,0,0,0,1
33,S1,0.8061,3,0,1,0,1
34,S1,1.0468,3,0,0,0,1
35,S1,1.0356,2,1,1,0,0
36,S1,1.2231,3,0,1,1,1
37,S1,0.8843,2,0,0,0,1
38,S1,1.074,3,1,0,0,0
39,S1,1.2553,3,0,1,0,0
40,S1,1.1582,2,1,1,0,1
41,S2,1.4383,3,1,0,0,1
42,S2,1.2577,1,1,0,0,0
43,S2,1.6159,4,0,1,0,0
44,S2,1.7734,5,1,0,0,1
45,S2,1.4714,5,0,0,0,0
46,S2,1.3896,2,0,1,1,0
47,S2,1.5172,2,1,0,0,0
48,S2,1.5141,2,0,0,0,0
49,S2,1.7563,1,0,1,1,1
50,S2,1.7454,1,1,1,1,1
51,S2,1.5787,5,0,1,0,0
52,S2,1.8664,5,1,1,1,0
53,S2,1.691,5,1,0,1,0
54,S2,1.3566,3,0,1,1,1
55,S2,1.8702,1,0,1,0,1
56,S2,1.4086,1,0,0,1,0
57,S2,1.8207,2,1,1,1,0
58,S2,1.7266,2,0,1,0,1
59,S2,1.6715,3,1,0,0,0
60,S2,1.2784,1,0,0,0,1
61,S2,1.7708,4,1,1,0,0
62,S2,1.2775,5,0,0,1,0
63,S2,1.4182,5,0,1,0,1
64,S2,1.6774,2,1,1,0,0
65,S2,1.6744,3,1,1,0,0
66,S2,1.4888,2,0,0,0,1
67,S2,1.2822,3,0,0,1,1
68,S2,1.9745,3,1,0,1,0
69,S2,1.6825,2,0,1,0,0
70,S2,1.8454,2,0,1,1,1
71,S2,1.3797,2,1,0,0,1
72,S2,1.3547,3,0,1,0,1
73,S2,1.8792,5,1,0,1,1
74,S2,1.2117,4,1,0,0,0
75,S2,1.9586,1,1,0,1,1
76,S2,1.1658,2,0,1,0,1
77,S2,1.1391,2,1,1,1,0
78,S2,1.3471,1,0,0,1,1
79,S2,1.5913,1,1,1,0,1
80,S2,1.616,1,0,1,0,1
81,S3,1.6106,3,0,0,1,1
82,S3,2.4995,3,0,1,0,0
83,S3,1.45,5,0,1,1,1
84,S3,2.3209,2,1,1,1,0
85,S3,2.2107,3,0,0,0,1
86,S3,2.1938,1,1,1,1,1
87,S3,2.3459,4,1,1,0,1
88,S3,2.0978,2,0,0,1,1
89,S3,2.0191,4,1,0,1,1
90,S3,1.6695,2,0,1,1,1
91,S3,2.4383,3,1,0,1,1
92,S3,1.6726,1,1,1,1,1
93,S3,2.2744,3,1,0,0,1
94,S3,1.537,1,0,1,1,1
95,S3,1.6155,5,1,0,1,1
96,S3,1.8122,5,0,0,0,1
97,S3,2.2876,1,0,1,0,1
98,S3,2.4778,1,1,1,1,1
99,S3,2.4841,4,0,1,0,0
100,S3,1.4274,2,0,0,1,1
101,S3,1.527,2,1,1,0,1
102,S3,1.7318,2,1,1,1,1
103,S3,2.3801,3,0,0,0,1
104,S3,1.7227,5,1,1,0,1
105,S3,1.7124,1,0,1,0,0
106,S3,1.9154,3,0,1,0,1
107,S3,2.1908,3,1,1,1,1
108,S3,2.3631,3,0,1,0,1
109,S3,1.7203,4,1,0,1,1
110,S3,1.9318,2,0,0,0,1
111,S3,1.5273,4,0,0,0,1
112,S3,2.2998,4,1,1,0,1
113,S3,1.705,1,1,1,0,1
114,S3,1.5749,4,0,0,1,1
115,S3,1.9905,4,0,1,0,0
116,S3,1.5914,3,1,1,1,0
117,S3,2.2916,2,1,0,0,1
118,S3,1.7718,5,1,1,0,1
119,S3,2.1494,1,1,1,1,0
120,S3,2.3842,3,1,0,1,1
